"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"COFL2" "" "Cornus florida" "flowering dogwood" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "30" "Short" "Low" "Tolerant" "Early Spring" 
"COFO" "" "Cornus foemina" "stiff dogwood" "USA (AL  AR  DE  FL  GA  IL  IN  KY  LA  MD  MO  MS  NC  NJ  OK  SC  TN  TX  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "16" "Moderate" "Low" "Intermediate" "Mid Spring" 
"CONU4" "" "Cornus nuttallii" "Pacific dogwood" "USA (CA  ID  OR  WA)  CAN (BC)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Green" "Yes" "50" "Long" "Low" "Tolerant" "Mid Spring" 
"CORA6" "" "Cornus racemosa" "gray dogwood" "USA (AR  CT  DE  IA  IL  IN  KY  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  PA  RI  SC  SD  TX  VA  VT  WI  WV)  CAN (MB  ON  QC)" "Perennial" "Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "10" "Moderate" "Medium" "Tolerant" "Late Spring" 
"CORU" "" "Cornus rugosa" "roundleaf dogwood" "USA (CT  DC  DE  IA  IL  IN  KY  MA  MD  ME  MI  MN  ND  NH  NJ  NY  OH  PA  RI  VA  VT  WI  WV)  CAN (MB  NB  NS  ON  PE  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "10" "Moderate" "High" "Tolerant" "Mid Spring" 
"COSEO" "" "Cornus sericea ssp. occidentalis" "western dogwood" "USA (AK  CA  ID  MT  NV  OR  WA)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)" "Spring and Summer" "White" "Yes" "16" "Long" "Low" "Intermediate" "Summer" 
"COSES" "" "Cornus sericea ssp. sericea" "redosier dogwood" "USA (AK  AZ  CA  CO  CT  DE  IA  ID  IL  IN  KS  KY  MA  MD  ME  MI  MN  MT  ND  NE  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring and Summer" "White" "Yes" "12" "Moderate" "Low" "Intolerant" "Spring" 
"COCA15" "" "Corydalis caseana" "Sierra fumewort" "USA (CA  CO  ID  NM  OR  UT  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "White" "Yes" "3.0" "Moderate" "Low" "Tolerant" "Late Spring" 
"COFL3" "" "Corydalis flavula" "yellow fumewort" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MO  MS  NC  NE  NJ  NY  OH  OK  PA  SC  TN  VA  WV)  CAN (ON)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "1.5" "" "Low" "Intermediate" "Mid Spring" 
"CRAE" "" "Crataegus aestivalis" "may hawthorn" "USA (AL  FL  GA  MS  NC  SC  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "26" "Moderate" "Low" "Intolerant" "Mid Spring" 
"CRCR2" "" "Crataegus crus-galli" "cockspur hawthorn" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NS  ON  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "30" "Long" "High" "Intolerant" "Late Spring" 
"CRDO2" "" "Crataegus douglasii" "black hawthorn" "USA (AK  CA  ID  MI  MN  MT  ND  NV  OR  SD  WA  WI  WY)  CAN (AB  BC  ON  QC  SK)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring  Summer  Fall" "White" "Yes" "15" "Moderate" "Low" "Intermediate" "Mid Spring" 
"CRER" "" "Crataegus erythropoda" "cerro hawthorn" "USA (AZ  CO  NM  UT  WY)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "16" "Short" "Low" "Intolerant" "Late Spring" 
"CRMA5" "" "Crataegus marshallii" "parsley hawthorn" "USA (AL  AR  FL  GA  IL  KY  LA  MO  MS  NC  OK  SC  TN  TX  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "25" "Moderate" "Low" "Tolerant" "Mid Spring" 
"CRPH" "" "Crataegus phaenopyrum" "Washington hawthorn" "USA (AL  AR  DC  DE  FL  GA  IL  IN  KY  LA  MA  MD  ME  MI  MO  MS  NC  NJ  NY  OH  PA  RI  SC  TN  VA  WV)  CAN (ON)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (I)" "Spring and Summer" "White" "Yes" "30" "Long" "Medium" "Intolerant" "Mid Spring" 
"CRVI2" "" "Crataegus viridis" "green hawthorn" "USA (AL  AR  DE  FL  GA  IL  IN  KS  KY  LA  MD  MO  MS  NC  OK  PA  SC  TN  TX  VA  WV)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "30" "Long" "Low" "Intolerant" "Early Spring" 
"CRMO4" "" "Crepis modocensis" "Modoc hawksbeard" "USA (CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.4" "Moderate" "Medium" "Intolerant" "Late Spring" 
"CROC" "" "Crepis occidentalis" "largeflower hawksbeard" "USA (AZ  CA  CO  ID  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  SK)" "Annual  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "0.9" "Moderate" "Medium" "Intolerant" "Late Spring" 
"CRRU3" "" "Crepis runcinata" "fiddleleaf hawksbeard" "USA (AZ  CA  CO  IA  ID  KS  MN  MT  ND  NE  NM  NV  OR  SD  TX  UT  WA  WY)  CAN (AB  BC  MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "1.0" "Short" "Low" "Intolerant" "Late Spring" 
"CRCU" "" "Crescentia cujete" "common calabash tree" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Spring" "Green" "Yes" "33" "" "" "" "Summer" 
"CRTR5" "" "Cressa truxillensis" "spreading alkaliweed" "USA (AZ  CA  HI  NM  NV  OK  OR  TX  UT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  HI (I)" "Summer" "White" "Yes" "0.8" "Moderate" "Low" "Intolerant" "Late Spring" 
"CUFO" "" "Cucurbita foetidissima" "Missouri gourd" "USA (AR  AZ  CA  CO  FL  IA  IL  IN  KS  KY  MI  MO  NE  NM  NV  OH  OK  TX  UT  VA  WI  WY)" "Perennial" "Vine  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Moderate" "High" "Intolerant" "Summer" 
"CYRA" "" "Cyrilla racemiflora" "swamp titi" "USA (AL  DE  FL  GA  LA  MS  NC  SC  TX  VA)  USA+ (PR)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)" "Spring and Summer" "Yellow" "Yes" "30" "Short" "Low" "Tolerant" "Mid Summer" 
"DAFO" "" "Dalea formosa" "featherplume" "USA (AZ  CO  NM  OK  TX)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring  Summer  Fall" "Purple" "Yes" "3.0" "Long" "High" "Intolerant" "Indeterminate" 
"DAPUP" "" "Dalea purpurea var. purpurea" "purple prairie clover" "USA (AL  AR  AZ  CO  GA  IA  IL  IN  KS  KY  LA  MI  MN  MO  MS  MT  ND  NE  NM  NY  OH  OK  SD  TN  TX  WI  WY)  CAN (AB  MB  ON  SK)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Moderate" "Medium" "Intolerant" "Summer" 
"DACA12" "" "Damasonium californicum" "California damsonium" "USA (CA  ID  NV  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "1.5" "Short" "None" "Intolerant" "Mid Spring" 
"DAFRF" "" "Dasiphora fruticosa ssp. floribunda" "shrubby cinquefoil" "USA (AK  AZ  CA  CO  CT  IA  ID  IL  IN  MA  ME  MI  MN  MT  NC  ND  NH  NJ  NM  NV  NY  OH  OR  PA  SD  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  QC  SK  YT)  FRA (SPM)" "Perennial" "Shrub" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "" "" "" "" "" "" "" "" 
"DAFRF" "DAFL3" "Dasiphora floribunda" "" "" "" "" "" "Spring and Summer" "Yellow" "Yes" "2.5" "Long" "Low" "Intermediate" "Indeterminate" 
"DAWH2" "" "Dasylirion wheeleri" "common sotol" "USA (AZ  NM  TX)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "15" "Long" "High" "Intolerant" "Mid Spring" 
"DEVE" "" "Decodon verticillatus" "swamp loosestrife" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NB  NS  ON  QC)" "Perennial" "Subshrub  Shrub" "L48 (N)  CAN (N)" "Summer and Fall" "Red" "Yes" "8.0" "Long" "None" "Intermediate" "Mid Summer" 
"DEAN" "" "Delphinium andersonii" "Anderson's larkspur" "USA (CA  ID  MT  NV  OR  UT)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Moderate" "High" "Tolerant" "Mid Spring" 
"DEGL3" "" "Delphinium glaucum" "Sierra larkspur" "USA (AK  AZ  CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  MB  NT  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "8.0" "Short" "None" "Tolerant" "Early Spring" 
"DEIL" "" "Desmanthus illinoensis" "Illinois bundleflower" "USA (AL  AR  CO  DC  FL  GA  IA  IL  IN  KS  KY  LA  MD  MN  MO  MS  NC  ND  NE  NM  NV  OH  OK  PA  SC  SD  TN  TX  UT  VA  WI)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "3.0" "Long" "Medium" "Intolerant" "Early Summer" 
"DEPA6" "" "Desmodium paniculatum" "panicledleaf ticktrefoil" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Moderate" "Medium" "Intermediate" "Late Summer" 
"DETO" "" "Desmodium tortuosum" "dixie ticktrefoil" "USA (AL  AR  FL  GA  HI  LA  MS  NC  SC  TX)  USA+ (PR  VI)" "Annual  Perennial" "Subshrub  Forb/herb" "L48 (N)  HI (I)  PR (N)  VI (N)" "Spring and Summer" "Blue" "Yes" "9.0" "Moderate" "High" "Intolerant" "Summer" 
"DIFO" "" "Dicentra formosa" "Pacific bleeding heart" "USA (CA  MA  OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.5" "Short" "None" "Tolerant" "Early Summer" 
"DILO" "" "Diervilla lonicera" "northern bush honeysuckle" "USA (AL  CT  DE  GA  IA  IL  IN  MA  MD  ME  MI  MN  NC  ND  NH  NJ  NY  OH  PA  RI  TN  VA  VT  WI  WV)  CAN (LB  MB  NB  NF  NS  ON  PE  QC  SK)  FRA (SPM)" "Perennial" "Shrub" "L48 (N)  CAN (N)  SPM (N)" "Spring" "Purple" "Yes" "2.4" "Long" "High" "Intermediate" "Late Spring" 
"DOME" "" "Dodecatheon meadia" "pride of Ohio" "USA (AL  AR  DC  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MN  MO  MS  NC  NY  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (MB)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "2.0" "Short" "Low" "Tolerant" "Spring" 
"DOPU" "" "Dodecatheon pulchellum" "darkthroat shootingstar" "USA (AK  AZ  CA  CO  ID  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NT  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Moderate" "Low" "Intermediate" "Late Spring" 
"DOLA" "" "Douglasia laevigata" "cliff dwarf-primrose" "USA (AK  OR  WA)  CAN (BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "0.2" "Moderate" "Low" "Intermediate" "Late Spring" 
"DOBI" "" "Downingia bicornuta" "doublehorn calicoflower" "USA (CA  ID  NV  OR)" "Annual" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "0.8" "" "Low" "Intolerant" "Mid Spring" 
"DOLA2" "" "Downingia laeta" "Great Basin calicoflower" "USA (CA  ID  MT  NV  OR  UT  WY)  CAN (AB  SK)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "0.8" "" "Low" "Intolerant" "Late Spring" 
"DRAM" "" "Dracopis amplexicaulis" "clasping coneflower" "USA (AL  AR  FL  GA  IL  KS  LA  MO  MS  ND  NM  OK  SC  TX)" "Annual" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "" "High" "Intolerant" "Late Summer" 
"DRDR" "" "Dryas drummondii" "Drummond's mountain-avens" "USA (AK  ID  MT  OR  WA)  CAN (AB  BC  NF  NT  ON  QC  SK  YT)" "Perennial" "Subshrub  Shrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Short" "Low" "Tolerant" "Late Spring" 
"DROC" "" "Dryas octopetala" "eightpetal mountain-avens" "USA (AK  CO  ID  MT  OR  UT  WA  WY)  CAN (AB  BC  NT  NU  YT)  DEN (GL)" "Perennial" "Subshrub  Shrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Spring" "White" "Yes" "0.3" "Short" "Medium" "Intermediate" "Late Spring" 
"ECPA" "" "Echinacea pallida" "pale purple coneflower" "USA (AL  AR  CT  GA  IA  IL  IN  KS  LA  MA  MD  ME  MI  MO  NC  NE  NY  OK  SC  TN  TX  VA  WI)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.2" "Long" "Medium" "Intolerant" "Early Summer" 
"ECPU" "" "Echinacea purpurea" "eastern purple coneflower" "USA (AL  AR  CO  CT  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MO  MS  NC  NJ  NY  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (I)" "Spring and Summer" "Purple" "Yes" "1.2" "Long" "Low" "Intolerant" "Early Summer" 
"ELCA3" "" "Elephantopus carolinianus" "Carolina elephantsfoot" "USA (AL  AR  DC  DE  FL  GA  IL  IN  KS  KY  LA  MD  MO  MS  NC  NJ  OH  OK  PA  SC  TN  TX  VA  WV)" "Perennial" "Forb/herb" "L48 (N)" "Summer" "Purple" "Yes" "2.7" "Moderate" "Medium" "Intolerant" "Mid Summer" 
"EMNI" "" "Empetrum nigrum" "black crowberry" "USA (AK  CA  MI  MN  NH  NY  OR  VT  WA)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Subshrub  Shrub" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Summer and Fall" "Purple" "Yes" "1.0" "Moderate" "Medium" "Intolerant" "Mid Summer" 
"ENFA" "" "Encelia farinosa" "brittlebush" "USA (AZ  CA  HI  NV  UT)" "Perennial" "Subshrub  Shrub" "L48 (N)  HI (I)" "Fall  Winter and Spring" "Yellow" "Yes" "5.0" "Short" "High" "Intolerant" "Winter" 
"EPNE" "" "Ephedra nevadensis" "Nevada jointfir" "USA (AZ  CA  NV  OR  UT)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "3.0" "Short" "None" "Intolerant" "Spring" 
"EPTR" "" "Ephedra trifurca" "longleaf jointfir" "USA (AZ  CA  NM  TX)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "15" "Moderate" "None" "Intolerant" "Spring" 
"EPCO" "" "Epilobium coloratum" "purpleleaf willowherb" "USA (AL  AR  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (NB  NF  NS  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Red" "Yes" "3.3" "Moderate" "Low" "Intermediate" "Summer" 
"EPLE2" "" "Epilobium leptophyllum" "bog willowherb" "USA (AK  CA  CO  CT  IA  ID  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SD  TN  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  NT  ON  PE  QC  SK)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring" "Red" "Yes" "3.6" "Moderate" "Low" "Intermediate" "Summer" 
"ERNAN5" "" "Ericameria nauseosa ssp. nauseosa var. nauseosa" "rubber rabbitbrush" "USA (CO  KS  MT  ND  NE  NM  OK  SD  TX  WY)" "Perennial" "Shrub  Subshrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "4.0" "Long" "High" "Intolerant" "Late Summer" 
"ERCO4" "" "Erigeron compositus" "cutleaf daisy" "USA (AK  AZ  CA  CO  ID  MT  ND  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NF  NT  NU  QC  SK  YT)  DEN (GL)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Spring and Summer" "White" "Yes" "1.0" "Moderate" "High" "Intolerant" "Late Spring" 
"EREA" "" "Erigeron eatonii" "Eaton's fleabane" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "0.8" "Moderate" "High" "Intolerant" "Late Spring" 
"ERFI2" "" "Erigeron filifolius" "threadleaf fleabane" "USA (CA  ID  MT  NV  OR  UT  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Short" "High" "Intolerant" "Late Summer" 
"ERLI" "" "Erigeron linearis" "desert yellow fleabane" "USA (CA  ID  MT  NV  OR  UT  WA  WY)  CAN (BC  YT)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "White" "Yes" "1.0" "Moderate" "High" "Intolerant" "Late Spring" 
"ERPE3" "" "Erigeron peregrinus" "subalpine fleabane" "USA (AK  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Moderate" "Low" "Intermediate" "Late Spring" 
"ERPE5" "" "Erigeron petrophilus" "rockloving erigeron" "USA (CA  OR)" "Perennial" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "White" "Yes" "1.0" "Moderate" "Medium" "Tolerant" "Mid Summer" 
"ERPH" "" "Erigeron philadelphicus" "Philadelphia fleabane" "USA (AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)" "Biennial  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.8" "Short" "Low" "Intermediate" "Mid Spring" 
"ERST3" "" "Erigeron strigosus" "prairie fleabane" "USA (AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  ON  PE  QC  SK)" "Annual  Biennial  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "3.0" "Short" "Medium" "Intolerant" "Late Spring" 
"ERCA6" "" "Eriodictyon californicum" "California yerba santa" "USA (CA  OR)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "8.0" "Moderate" "High" "Intolerant" "Spring" 
"ERCA17" "" "Eriogonum capistratum" "hidden buckwheat" "USA (ID  MT)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Long" "High" "Intolerant" "Late Spring" 
"EREL5" "" "Eriogonum elatum" "tall woolly buckwheat" "USA (CA  ID  NV  OR  WA)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "3.0" "Moderate" "High" "Intolerant" "Late Spring" 
"ERFA2" "" "Eriogonum fasciculatum" "Eastern Mojave buckwheat" "USA (AZ  CA  NV  UT)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "3.0" "Long" "High" "Intolerant" "Mid Summer" 
"ERMA4" "" "Eriogonum marifolium" "marumleaf buckwheat" "USA (CA  NV  OR  WA)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "0.8" "Moderate" "High" "Intolerant" "Late Spring" 
"ERMI4" "" "Eriogonum microthecum" "slender buckwheat" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "1.1" "Long" "High" "Intolerant" "Mid Summer" 
"ERNI2" "" "Eriogonum niveum" "snow buckwheat" "USA (ID  OR  WA)  CAN (BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "White" "Yes" "1.5" "Long" "High" "Intermediate" "Late Summer" 
"ERSP7" "" "Eriogonum sphaerocephalum" "rock buckwheat" "USA (CA  ID  NV  OR  WA)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring" "Yellow" "Yes" "1.0" "Long" "High" "Intolerant" "Mid Spring" 
"ERST4" "" "Eriogonum strictum" "Blue Mountain buckwheat" "USA (CA  ID  MT  NV  OR  WA)  CAN (BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.2" "Long" "High" "Intolerant" "Late Spring" 
"ERTH4" "" "Eriogonum thymoides" "thymeleaf buckwheat" "USA (ID  OR  WA)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "1.0" "Long" "High" "Intolerant" "Mid Summer" 
"ERUM" "" "Eriogonum umbellatum" "sulphur-flower buckwheat" "USA (AZ  CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Subshrub  Shrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Long" "High" "Intolerant" "Early Summer" 
"ERWR" "" "Eriogonum wrightii" "bastardsage" "USA (AZ  CA  NM  NV  TX  UT)" "Perennial" "Subshrub  Shrub  Forb/herb" "L48 (N)" "Spring and Fall" "White" "Yes" "2.0" "Long" "High" "Intermediate" "Summer" 
"ERCAC" "" "Erysimum capitatum var. capitatum" "sanddune wallflower" "USA (AK  AR  AZ  CA  CO  IA  ID  IL  IN  KS  MD  MI  MO  MT  NM  NV  OH  OK  OR  TN  TX  UT  VA  WA  WI  WV  WY)" "Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)" "Spring and Summer" "Yellow" "Yes" "2.5" "Short" "Medium" "Intolerant" "Mid Spring" 
"ESCA2" "" "Eschscholzia californica" "California poppy" "USA (AK  AL  AZ  CA  CO  CT  DE  GA  HI  ID  IL  KY  LA  MA  MI  MO  NC  NE  NH  NM  NV  NY  OH  OR  PA  SC  TN  TX  UT  WA  WI  WY)  CAN (AB  BC  MB  NS  ON  PE)" "Annual  Perennial" "Forb/herb" "L48 (N)  AK (I)  HI (I)  CAN (I)" "Spring  Summer  Fall" "Orange" "Yes" "1.2" "Short" "Medium" "Intermediate" "Late Spring" 
"EURA5" "" "Eubotrys racemosa" "swamp doghobble" "USA (AL  CT  DC  DE  FL  GA  LA  MA  MD  MS  NC  NJ  NY  PA  RI  SC  TN  TX  VA)" "Perennial" "Shrub" "L48 (N)" "" "" "" "" "" "" "" "" 
"EURA5" "LERA4" "Leucothoe racemosa" "" "" "" "" "" "Spring" "White" "Yes" "13" "Moderate" "Low" "Tolerant" "Early Spring" 
"EUBR13" "" "Eucephalus brickellioides" "brickellbush aster" "USA (CA  OR)" "Perennial" "Forb/herb  Subshrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Short" "High" "Intolerant" "Late Summer" 
"EUEN" "" "Eucephalus engelmannii" "Engelmann's aster" "USA (CA  CO  ID  MT  NV  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb  Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "6.0" "Long" "Low" "Tolerant" "Early Summer" 
"EUGL19" "" "Eurybia glauca" "gray aster" "USA (AZ  CO  ID  MT  NM  UT  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "Purple" "Yes" "2.0" "Short" "Medium" "Intolerant" "Mid Summer" 
"EUIN9" "" "Eurybia integrifolia" "thickstem aster" "USA (CA  ID  MT  NV  OR  UT  WA  WY)" "Perennial" "Forb/herb  Subshrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Short" "High" "Intolerant" "Late Summer" 
